,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
11:05:09:00,-52.0,-53.0,-54.0,-54.0,-73.0,-73.0,-73.0,-79.0,-80.0,-80.0,-88.0,-89.0,-89.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.434918,26.047606
11:05:10:00,-41.0,-60.0,-60.0,-60.0,-73.0,-73.0,-73.0,-76.0,-76.0,-75.0,-92.0,-91.0,-91.0,-91.0,-54.0,-54.0,-54.0,-66.0,-66.0,-67.0,-67.0,-68.0,-68.0,-86.0,-86.0,-87.0,-91.0,-93.0,,,,,,,,,,,,,,44.43491799999957,26.04761387170416
11:05:11:00,-50.0,-53.0,-54.0,-54.0,-72.0,-74.0,-74.0,-77.0,-77.0,-77.0,-89.0,-91.0,-90.0,-94.0,-52.0,-52.0,-52.0,-60.0,-60.0,-72.0,-60.0,-72.0,-72.0,,-87.0,-88.0,-94.0,-93.0,,,,,,,,,,,,,,44.43491799999903,26.04762363261732
11:05:12:00,-47.0,-54.0,-54.0,-54.0,-75.0,-74.0,-74.0,-76.0,-76.0,-76.0,-92.0,-91.0,-92.0,-94.0,-54.0,-54.0,-54.0,-59.0,-60.0,-67.0,-60.0,-68.0,-67.0,-87.0,-87.0,-88.0,-93.0,-94.0,,,,,,,,,,,,,,44.43491799999827,26.047637486816647
11:05:13:00,-54.0,-59.0,-59.0,-59.0,-80.0,-80.0,-80.0,-71.0,-73.0,-73.0,-87.0,-87.0,-87.0,,-52.0,-52.0,-52.0,-65.0,-65.0,-73.0,-65.0,-73.0,-72.0,-87.0,-87.0,-87.0,-92.0,-91.0,,,,,,,,,,,,,,44.4349179999974,26.04765323022497
11:05:14:00,-53.0,-44.0,-44.0,-44.0,-78.0,-75.0,-78.0,-82.0,-80.0,-82.0,-90.0,-91.0,-89.0,-82.0,-49.0,-49.0,-49.0,-69.0,-68.0,-74.0,-68.0,-75.0,-74.0,-86.0,-86.0,-85.0,-82.0,-81.0,,,,,,,,,,,,,,44.43491799999661,26.04766757421922
11:05:17:00,-52.0,-40.0,-39.0,-40.0,,,,-63.0,-63.0,-64.0,-88.0,-88.0,-89.0,-85.0,-52.0,-51.0,-51.0,-60.0,-61.0,-57.0,-60.0,-58.0,-58.0,-85.0,-84.0,-85.0,-84.0,,-93.0,-94.0,-96.0,,,,,,,,,,,44.43491799999594,26.047679716194267
11:05:20:00,-51.0,-37.0,-37.0,-37.0,-73.0,-79.0,-73.0,-69.0,-69.0,-71.0,-89.0,-88.0,-88.0,-83.0,-47.0,-47.0,-47.0,-59.0,-60.0,-67.0,-59.0,-66.0,-65.0,-85.0,-84.0,-84.0,-85.0,-85.0,,,,-89.0,-91.0,,,,,,,,,44.43491799999566,26.04768786572328
11:05:21:00,-50.0,-42.0,-42.0,-42.0,-65.0,-64.0,-64.0,-76.0,-74.0,-76.0,-87.0,-88.0,-87.0,-75.0,-52.0,-53.0,-52.0,-73.0,-74.0,-75.0,-74.0,-75.0,-75.0,-87.0,-87.0,-87.0,-78.0,-79.0,,,,,,,,,,,,,,44.4349098243447,26.04768786572328
11:05:22:00,-60.0,-46.0,-46.0,-46.0,-67.0,-68.0,-68.0,-77.0,-77.0,-77.0,-88.0,-88.0,-87.0,-86.0,-55.0,-54.0,-54.0,-74.0,-74.0,-67.0,-75.0,-67.0,-67.0,-89.0,-87.0,-87.0,-86.0,-86.0,-96.0,-95.0,-96.0,,,,,,,,,,,44.43489941401581,26.04768786572328
