,lat,long
14:25:33:50,44.4349375,26.0476015
14:25:35:20,44.43493749999931,26.04761409473086
14:25:36:10,44.43493749999862,26.04762668946172
14:25:37:00,44.434937499997915,26.04763928419258
14:25:37:90,44.434937499997226,26.047651878923443
14:25:38:70,44.43493749999653,26.047664473654304
14:25:41:70,44.43493749999584,26.047677068385166
14:25:43:20,44.43493749999566,26.047683365750597
14:25:45:10,44.434928506779606,26.0476833657506
14:25:45:90,44.43491951356354,26.0476833657506
14:25:46:80,44.43491052034748,26.0476833657506
14:25:47:50,44.43490152713142,26.0476833657506
14:25:48:40,44.43489253391536,26.0476833657506
14:25:49:30,44.4348835406993,26.0476833657506
14:25:50:10,44.43487454748325,26.0476833657506
14:25:51:00,44.43487454748256,26.047695960467895
14:25:52:00,44.43488354069862,26.047695960467895
14:25:52:90,44.43489253391467,26.047695960467895
14:25:53:90,44.434901527130734,26.047695960467895
14:25:54:60,44.434910520346804,26.047695960467895
14:25:55:50,44.43491951356285,26.047695960467895
14:25:56:30,44.43492850677892,26.047695960467895
14:25:56:90,44.43493300338694,26.047695960467895
14:25:57:60,44.43493300338625,26.047708555197786
14:25:58:40,44.43493300338555,26.04772114992768
14:25:59:30,44.43493300338486,26.04773374465757
14:26:00:10,44.434933003384174,26.047746339387462
14:26:01:00,44.43493300338348,26.047758934117354
14:26:01:80,44.43493300338278,26.047771528847246
14:26:02:70,44.434933003382085,26.047784123577138
14:26:03:50,44.434933003381396,26.047796718307026
14:26:04:40,44.434933003380706,26.047809313036918
14:26:05:10,44.43493300338001,26.047821907766807
14:26:05:90,44.43493300337932,26.0478345024967
14:26:06:80,44.43493300337862,26.04784709722659
14:26:07:60,44.43493300337793,26.047859691956482
14:26:08:50,44.43493300337723,26.047872286686374
14:26:09:30,44.43493300337654,26.047884881416262
14:26:10:90,44.434937499984564,26.047884881416262
14:26:14:30,44.434937499983874,26.047897476147124
14:26:15:30,44.4349374999837,26.047903773512555
14:26:18:20,44.43492850676764,26.047903773512555
14:26:19:20,44.43491951355158,26.047903773512555
14:26:20:00,44.434910520335514,26.047903773512555
14:26:20:70,44.43490152711945,26.047903773512555
14:26:21:60,44.43489253390339,26.047903773512555
14:26:22:50,44.43488354068732,26.047903773512555
14:26:23:20,44.43487454747127,26.047903773512555
14:26:24:00,44.43487454747057,26.047916368229846
14:26:24:80,44.434874547469875,26.04792896294714
14:26:25:80,44.434874547469185,26.04794155766443
14:26:26:60,44.43488354068524,26.04794155766443
14:26:27:40,44.4348925339013,26.04794155766443
14:26:28:20,44.43490152711736,26.04794155766443
14:26:29:00,44.43491052033342,26.04794155766443
14:26:29:70,44.434919513549474,26.04794155766443
14:26:30:50,44.43492850676553,26.04794155766443
14:26:31:50,44.43493749998159,26.04794155766443
14:26:32:00,44.43493749998141,26.047935260299
14:26:32:70,44.43493749998072,26.04792266556814
14:26:33:50,44.43493749998003,26.04791007083728
14:26:34:30,44.43493749997985,26.047903773471848
14:26:35:50,44.434937499979675,26.04789747610642
14:26:39:00,44.43493749997898,26.047884881375563
14:26:39:90,44.43494199658701,26.047884881375563
14:26:40:80,44.43494199658631,26.04787228664373
14:26:41:60,44.43494199658562,26.0478596919119
14:26:42:40,44.434941996584925,26.04784709718007
14:26:43:30,44.43494199658423,26.04783450244824
14:26:44:00,44.43494199658353,26.047821907716408
14:26:44:90,44.43494199658284,26.04780931298458
14:26:45:70,44.434941996582154,26.047796718252748
14:26:46:60,44.43494199658146,26.047784123520916
14:26:47:00,44.43494199658128,26.047777826155002
14:26:47:50,44.4349419965811,26.04777152878909
14:26:48:10,44.43494199658041,26.047758934057264
14:26:48:70,44.434941996580235,26.04775263669135
14:26:49:10,44.43494199658006,26.047746339325435
14:26:49:40,44.43494199657988,26.04774004195952
14:26:49:80,44.4349419965797,26.047733744593607
14:26:50:70,44.43494199657901,26.047721149861776
14:26:51:50,44.434941996578324,26.047708555129947
14:26:52:30,44.43494199657763,26.047695960398116
14:26:53:20,44.43493749996959,26.047695960398116
14:26:54:70,44.434937499968896,26.047683365667254
14:26:56:00,44.43493749996872,26.047677068301827
14:27:00:90,44.43493749996802,26.04766447357097
14:27:01:90,44.434937499967326,26.047651878840107
14:27:02:80,44.43493749996664,26.04763928410925
14:27:03:70,44.43493749996595,26.04762668937839
14:27:04:60,44.43493749996525,26.04761409464753
14:27:05:70,44.43493749996456,26.04760149991667
