,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total
11:05:07:87,0.7616272,0.29270935,9.909866,,,,,,,9.94339976533747,,
11:05:07:88,0.7975464,0.21609497,9.80452,,,,,,,9.839277906767968,,
11:05:07:89,0.90527344,0.13708496,10.192368,,,,,,,10.233409878180959,,
11:05:07:90,0.8885193,0.19932556,10.192368,,,,,,,10.232964510481105,,
11:05:07:91,0.8382416,0.21369934,9.955353,,,,,,,9.9928659423859,,
11:05:07:92,0.7915573250000001,0.23045348999999998,9.909859,,,,52.49939,-50.849915,-264.75067,9.944201264350877,,274.65399518544825
11:05:07:93,0.74487305,0.24720764,9.864365,,,,52.55779722222222,-50.833215055555556,-264.65064,9.895536586315856,,274.56583868803614
11:05:07:94,0.8334503,0.24003601,9.8715515,,,,52.61620444444444,-50.816515111111116,-264.55061,9.909580501000992,,274.47768219062397
11:05:07:95,0.80711365,0.2807312,9.823669,0.037979126,-0.018737793,0.050582886,52.674611666666664,-50.79981516666667,-264.45058,9.860766454603352,0.06597080607604944,274.38952569321185
11:05:07:96,0.8153601777777778,0.28631761111111115,9.853995000000001,0.053955078,0.04411316,0.051651,52.733018888888886,-50.78311522222222,-264.35055,9.891836813860811,0.08674645311579998,274.30136919579974
11:05:07:97,0.8236067055555556,0.2919040222222222,9.884321,0.018798828,0.026000977,0.044189453,52.79142611111111,-50.76641527777778,-264.25052,9.922907173118272,0.054609106342874005,274.21321269838757
11:05:07:98,0.8318532333333334,0.29749043333333336,9.914647,-0.041915894,0.11868286,0.03781128,52.84983333333333,-50.749715333333334,-264.15049,9.953977532375731,0.13142395642666233,274.12505620097545
11:05:07:99,0.8400997611111112,0.30307684444444444,9.944973000000001,-0.08239746,0.18153381,0.041000366,52.90824055555555,-50.73301538888889,-264.05046,9.98504789163319,0.20353106789800335,274.03689970356334
11:05:08:00,0.8483462888888889,0.30866325555555557,9.975299,-0.05683899,0.12294006,0.029281616,52.96664777777777,-50.71631544444445,-263.95043,10.016118250890651,0.13857251593514192,273.94874320615116
11:05:08:01,0.8565928166666666,0.31424966666666665,10.005625,0.026260376,-0.036849976,0.011169434,53.025054999999995,-50.6996155,-263.85040000000004,10.04718861014811,0.04660777118402368,273.86058670873905
11:05:08:02,0.8648393444444444,0.3198360777777778,10.035951,0.042236328,-0.12420654,0.029281616,53.083462222222224,-50.68291555555555,-263.75037000000003,10.078258969405569,0.134419436902803,273.77243021132693
11:05:08:03,0.8730858722222222,0.3254224888888889,10.066277,0.05076599,-0.05708313,0.032485962,53.141869444444445,-50.66621561111111,-263.65034,10.10932932866303,0.08301209067565064,273.68427371391476
11:05:08:04,0.8813324,0.3310089,10.096603,0.051818848,-0.025131226,0.03353882,53.20027666666667,-50.649515666666666,-263.55031,10.140399687920489,0.06664550979100227,273.59611721650265
11:05:08:05,0.7759857,0.26158142,10.091812,0.051818848,-0.020469665875,0.03367233425,53.25868388888889,-50.63281572222222,-263.45028,10.124981387105741,0.06625082389059557,273.50796071909053
11:05:08:06,0.79992676,0.3022766,10.108582,0.051818848,-0.01580810575,0.0338058485,53.31709111111111,-50.61611577777778,-263.35025,10.144687477443338,0.06585613799018887,273.41980422167836
11:05:08:07,0.8693695,0.15383911,9.905075,0.051818848,-0.011146545624999999,0.03393936275,53.37549833333333,-50.59941583333333,-263.25022,9.944344149058843,0.06546145208978217,273.33164772426625
11:05:08:08,0.9124603,0.25679016,9.665649,0.051818848,-0.006484985499999998,0.034072877,53.433905555555555,-50.582715888888885,-263.15019,9.712018100093816,0.06506676618937547,273.24349122685413
11:05:08:09,0.9100647,0.30467224,9.826065,0.051818848,-0.0018234253749999998,0.034206391249999996,53.49231277777778,-50.566015944444445,-263.05016,9.872821092080912,0.06467208028896877,273.15533472944196
11:05:08:10,0.8909149,0.31425476,9.818878,0.051818848,0.002838134750000002,0.0343399055,53.55072,-50.549316,-262.95013,9.864220729084922,0.06427739438856207,273.06717823202985
11:05:08:11,0.89331055,0.3381958,9.818878,0.051818848,0.007499694875000004,0.03447341975,53.700256,-50.100708,-262.8006,9.865229106146645,0.06388270848815537,272.86984772401433
11:05:08:12,0.7831726,0.34776306,9.833252,0.051818848,0.012161255,0.034606934,53.6064145,-49.76310725,-262.61310749999996,9.87051890038185,0.06348802258774867,272.6101468678339
11:05:08:13,0.801370234,0.346328734,9.8313354,-0.02168274,0.152771,0.0473938,53.512573,-49.4255065,-262.425615,9.870088165118702,0.16141651691616815,272.35044601165356
11:05:08:14,0.819567868,0.344894408,9.829418800000001,-0.03126526,0.12294006,0.038864136,53.4187315,-49.08790575,-262.2381225,9.869657429855556,0.13267326747577185,272.09074515547314
11:05:08:15,0.837765502,0.343460082,9.8275022,-0.0035705566,-0.040039062,0.0154418945,53.324889999999996,-48.750305,-262.05062999999996,9.869226694592408,0.04306190272181175,271.8310442992928
11:05:08:16,0.8559631360000001,0.34202575599999996,9.8255856,-0.044052124,0.06541443,-0.009063721,53.2310485,-48.41270425,-261.8631375,9.868795959329262,0.07938380388657447,271.57134344311237
11:05:08:17,0.87416077,0.34059143,9.823669,-0.055770874,0.08459473,-0.009063721,53.137207,-48.0751035,-261.675645,9.868365224066114,0.10172909991178836,271.31164258693195
11:05:08:18,0.77838135,0.31903076,9.878738,-0.05569458014285714,0.08398546785714286,-0.008759635114285715,53.0433655,-47.73750275,-261.4881525,9.914490537818775,0.10116385795897725,271.0519417307516
11:05:08:19,0.7735901,0.34536743,9.933807,-0.05561828628571428,0.08337620571428572,-0.008455549228571429,52.949524,-47.399902,-261.30066,9.969866690070225,0.10059861600616615,270.7922408745712
11:05:08:20,0.7625179375,0.33908271624999997,9.947572375,-0.05554199242857143,0.08276694357142858,-0.008151463342857143,52.949524,-47.67261818181818,-261.4779390909091,9.982581639608425,0.10003337405335505,271.0122089642446
11:05:08:21,0.751445775,0.33279800249999997,9.96133775,-0.05546569857142857,0.08215768142857144,-0.007847377457142857,52.949524,-47.94533436363636,-261.65521818181816,9.995296589146625,0.09946813210054395,271.2321770539181
11:05:08:22,0.7403736125,0.32651328874999996,9.975103125,-0.05538940471428572,0.0815484192857143,-0.007543291571428572,52.949524,-48.218050545454545,-261.83249727272727,10.008011538684825,0.09890289014773285,271.45214514359157
11:05:08:23,0.7293014499999999,0.320228575,9.988868499999999,-0.055313110857142855,0.08093915714285715,-0.007239205685714286,52.949524,-48.49076672727273,-262.0097763636364,10.020726488223023,0.09833764819492175,271.672113233265
11:05:08:24,0.7182292874999999,0.31394386125,10.002633874999999,-0.055236817,0.08032989500000001,-0.0069351198,52.949524,-48.76348290909091,-262.18705545454543,10.033441437761223,0.09777240624211064,271.8920813229385
11:05:08:25,0.7071571249999999,0.3076591475,10.01639925,-0.055160523142857146,0.07972063285714286,-0.0066310339142857146,52.949524,-49.036199090909086,-262.36433454545454,10.046156387299423,0.09720716428929953,272.11204941261195
11:05:08:26,0.6960849625,0.30137443375,10.030164625,-0.055084229285714284,0.07911137071428571,-0.006326948028571429,52.949524,-49.30891527272727,-262.5416136363636,10.058871336837623,0.09664192233648843,272.33201750228545
11:05:08:27,0.6850128,0.29508972,10.04393,-0.05500793542857143,0.07850210857142857,-0.006022862142857143,52.949524,-49.58163145454545,-262.7188927272727,10.071586286375823,0.09607668038367732,272.5519855919589
11:05:08:28,0.68022156,0.27114868,9.68959,-0.054931641571428574,0.07789284642857143,-0.005718776257142857,52.949524,-49.854347636363634,-262.8961718181818,9.71722065950211,0.09551143843086622,272.77195368163234
11:05:08:29,0.7831726,0.2591858,10.034363,-0.05485534771428572,0.07728358428571429,-0.005414690371428572,52.949524,-50.12706381818182,-263.07345090909087,10.068216198318419,0.09494619647805512,272.99192177130584
11:05:08:30,0.7759857,0.20172119,10.206741,-0.05477905385714286,0.07667432214285715,-0.005110604485714286,52.949524,-50.39978,-263.25073,10.238183778687532,0.09438095452524402,273.2118898609793
11:05:08:31,0.789395128,0.20746765,10.134914799999999,-0.05470276,0.07606506,-0.0048065186,53.700256,-48.599243,-261.30066,10.167810140417922,0.09381571257243292,271.15242730072356
11:05:08:32,0.802804556,0.21321411,10.063088599999999,0.03477478,-0.1252594,-0.015457153,53.3102414,-48.7493896,-261.750488,10.097436502148312,0.13091266627516912,271.5376899913729
11:05:08:33,0.816213984,0.21896057000000002,9.9912624,-0.07707214,-0.00062561035,-0.021850586,52.9202268,-48.8995362,-262.200316,10.027062863878703,0.08011213554158335,271.92295268202224
11:05:08:34,0.829623412,0.22470703,9.9194362,-0.00036621094,-0.06561279,-0.002670288,52.5302122,-49.0496828,-262.650144,9.956689225609093,0.06566812590625394,272.30821537267155
11:05:08:35,0.84303284,0.23045349,9.84761,-0.00569915772,-0.08905029,-0.0106658935,52.1401976,-49.1998294,-263.099972,9.886315587339483,0.09011290235676281,272.6934780633209
11:05:08:36,0.859787,0.26397705,9.864365,-0.0110321045,-0.11248779,-0.018661499,51.750183,-49.349976,-263.5498,9.905282147496894,0.11455767880727168,273.07874075397024
11:05:08:37,0.7999343999999999,0.22327423,9.907463499999999,-0.02647399925,-0.081062315,-0.021850585999999998,52.649943,-49.450175333333334,-263.8000466666667,9.942499225697373,0.09209170799756158,273.512684911302
