,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
14:25:33:50,0.4695282,-0.8900299,12.854721,-0.04084778,0.26887512,-0.3488922,53.55072,-50.99945,-263.40027,12.894047539129451,0.44236652055369513,273.5842205773092,44.4349375,26.0476015
14:25:33:51,1.7480316,-0.47105408,11.396652,0.3852539,0.34132385,-0.21147156,53.250122,-50.699615,-262.950135,11.539548657984298,0.5564555316760416,273.03641284464686,44.43493749999999,26.047601574086652
14:25:33:52,1.5301666,-0.21247864,9.253845,0.49710083,0.32107544,-0.24023438,52.949524,-50.39978,-262.5,9.38190834959694,0.6386792862555251,272.48860511198444,44.43493749999999,26.047601648173302
14:25:33:53,0.8981018,-0.13586426,8.178848,0.468338,0.41696167,-0.2583313,53.099823,-50.6248475,-262.124635,8.229131214618747,0.6781832916349966,272.1983110423688,44.43493749999998,26.047601722259955
14:25:33:54,0.79992676,-0.12628174,8.035202,0.29896545,0.6576996,-0.26260376,53.250122,-50.849915,-261.74927,8.075908684477898,0.7687066013115799,271.90801697275316,44.43493749999998,26.04760179634661
14:25:33:55,0.8669739,-0.32499695,8.851624,0.033721924,0.7525177,-0.27218628,54.299926,-51.300049,-261.8248,8.899916527595442,0.8009403398454782,272.27482210788054,44.434937499999975,26.047601870433258
14:25:33:56,0.5700836,-0.44232178,9.72551,-0.015289307,0.7386627,-0.29455566,55.34973,-51.750183,-261.90033,9.752240185113948,0.7953737386398081,272.6416272430079,44.434937499999975,26.04760194451991
14:25:33:57,0.10800171,-0.73680115,10.098999,0.019866943,0.74931335,-0.29776,54.074859000000004,-50.7751465,-261.90033,10.126416992500616,0.806552050094963,272.2064940139952,44.43493749999997,26.047602018606565
14:25:33:58,-0.43547058,-1.1342468,9.775787,0.042236328,0.77275085,-0.2540741,52.799988,-49.80011,-261.90033,9.85099801536498,0.8145436954942663,271.7713607849825,44.43493749999996,26.047602092693214
14:25:33:59,-0.8185425,-1.2898712,9.39032,-0.0035705566,0.8334656,-0.18057251,53.700256499999995,-50.9246825,-261.15036499999997,9.51377365924246,0.8528095254073409,271.43890849541276,44.43493749999996,26.047602166779868
14:25:33:60,-0.87361145,-1.2180328,9.5746765,-0.04937744,0.8601074,-0.10493469,54.600525,-52.049255,-260.4004,9.691296659740594,0.8678906384338465,271.10645620584296,44.434937499999954,26.04760224086652
14:25:33:61,-0.7922058,-0.9738312,10.048721,-0.03765869,0.70243835,-0.076171875,55.8753975,-51.9744875,-260.70023000000003,10.126832227873042,0.7075591615011809,271.64213802687055,44.434937499999954,26.047602314953174
14:25:33:62,-1.0388184,-0.7008972,10.575455,-0.008895874,0.56822205,-0.080444336,57.15027,-51.89972,-261.00006,10.649443600966737,0.573957076683359,272.17781984789815,44.43493749999995,26.047602389039824
14:25:33:63,-1.148941,-0.87327576,10.067871,0.17752075,0.12187195,-0.08149719,57.15027,-51.525116499999996,-261.75003000000004,10.170776885131518,0.2302350556610811,272.82659523896757,44.43493749999995,26.047602463126477
14:25:33:64,-1.3285065,-1.1366425,8.904297,0.21907043,0.02281189,-0.076171875,57.15027,-51.150513,-262.5,9.074325912019994,0.2330544789674136,273.47537063003693,44.43493749999994,26.04760253721313
14:25:33:65,-1.3404846,-1.2707062,8.193222,0.14770508,-0.05708313,-0.010131836,56.925202,-50.62561049999999,-261.75003000000004,8.398838011941868,0.15867554471037493,272.6108039383529,44.43493749999993,26.04760261129978
14:25:33:66,-0.98854065,-1.0456543,7.996887,0.02305603,-0.07519531,0.038864136,56.700134,-50.100708,-261.00006,8.125318899746638,0.08772876513654741,271.74623724666884,44.43493749999993,26.047602685386433
14:25:33:67,-0.6725006,-0.9067993,8.032806,-0.03552246,-0.11781311,0.052719116,56.175231999999994,-51.375579,-261.15036,8.111751614855873,0.13386963525813148,272.0229111596683,44.434937499999926,26.047602759473087
14:25:33:68,0.052947998,-0.45188904,8.38475,-0.14950562,-0.4427185,0.03353882,55.65033,-52.65045,-261.30066,8.39708519412923,0.4684831406793918,272.2995850726677,44.434937499999926,26.047602833559736
14:25:33:69,0.28518677,-0.3297882,8.57869,-0.1633606,-0.60783386,0.013305664,55.65033,-52.1255485,-261.67526499999997,8.58976215425912,0.6295440633421463,272.55884682429564,44.43493749999992,26.04760290764639
14:25:33:70,0.29475403,-0.3369751,8.526016,-0.20916748,-1.0211487,-0.045288086,55.65033,-51.600647,-262.04987,8.537762059724859,1.0433344204687123,272.81810857592353,44.43493749999992,26.047602981733043
14:25:33:71,0.43362427,-0.39683533,8.997665,-0.25283813,-1.1425934,-0.06340027,55.0498965,-51.225281,-262.04987,9.016844444643272,1.1719498248395832,272.6263368217068,44.43493749999991,26.047603055819692
14:25:33:72,0.84542847,-0.4494934,9.335251,-0.25497437,-1.1702881,-0.099609375,54.449463,-50.849915,-262.04987,9.38422638513858,1.201876946257976,272.4345650674901,44.434937499999904,26.047603129906346
14:25:33:73,0.88612366,-0.4494934,9.696777,-0.2336731,-1.0765533,-0.15394592,54.7500615,-49.949646,-261.9751,9.747550648505724,1.1123261534681033,272.257900920895,44.434937499999904,26.047603203993
14:25:33:74,0.90527344,-0.45428467,9.967316,-0.17933655,-0.8368683,-0.18803406,55.05066,-49.049377,-261.90033,10.01864675524706,0.8762801820370447,272.0812367742999,44.4349374999999,26.04760327807965
14:25:33:75,0.95555115,-0.7679291,10.161255,-0.10369873,-0.5630951,-0.2071991,54.150391,-50.099945,-262.57552999999996,10.234935089091584,0.6089014577814976,272.74549880360667,44.4349374999999,26.047603352166302
14:25:33:76,0.7640228,-0.957077,10.252228,-0.044052124,-0.33512878,-0.21040344,53.250122,-51.150513,-263.25073,10.325110468505063,0.3981475811518053,273.40976083291343,44.43493749999989,26.047603426252955
14:25:33:77,0.5748749,-1.0001678,10.276169,-0.018478394,-0.27120972,-0.19654846,53.624725999999995,-50.7751465,-262.875365,10.340718838425492,0.33545112966819657,273.0521534589504,44.43493749999989,26.047603500339605
14:25:33:78,0.6251526,-0.92355347,10.094208,0.02519226,-0.22114563,-0.12837219,53.99933,-50.39978,-262.5,10.155629076157705,0.2569425204153657,272.69454608498734,44.43493749999988,26.047603574426258
14:25:33:79,0.70895386,-0.9163666,9.981689,-0.0025024414,-0.24777222,-0.08363342,53.99933,-51.0002135,-262.6503,10.048704325131943,0.2615184203026342,272.9513631822361,44.434937499999876,26.04760364851291
14:25:33:80,0.9483795,-0.83496094,10.252228,-0.06321716,-0.3159485,-0.07511902,53.99933,-51.600647,-262.8006,10.329799727551835,0.33085152430731823,273.20818027948485,44.434937499999876,26.04760372259956
14:25:33:81,0.84542847,-0.9187622,11.080627,-0.32740784,0.30403137,-0.0463562,53.174592000000004,-51.675415,-262.350465,11.150747418499101,0.4491991372609508,272.6283264989881,44.43493749999987,26.047603796686214
14:25:33:82,2.3944702,-0.68652344,11.276947,-0.39665222,0.27101135,-0.014389038,52.349854,-51.750183,-261.90033,11.548780698115557,0.4806112564997998,272.0484727184913,44.43493749999987,26.047603870772868
14:25:33:83,1.4391785,-0.05445862,10.427002,-0.28799438,-0.48213196,-0.04208374,53.099823,-51.0002135,-262.42523,10.525995022047015,0.5631722924091823,272.5596328572964,44.43493749999986,26.04760394485952
14:25:33:84,1.5421295,-0.5045624,9.888306,-0.17614746,-0.4938507,-0.036758423,53.849792,-50.250244,-262.95013,10.020546001086966,0.5256116657917598,273.07079299610143,44.43493749999986,26.04760401894617
14:25:33:85,2.0736542,-1.0073547,10.067871,-0.14311218,0.007888794,-0.09854126,53.475189,-49.275207,-262.95013,10.32844769098584,0.17393593377308336,272.8212628989629,44.434937499999855,26.047604093032824
14:25:33:86,2.3705292,-1.3449249,10.525162,-0.118621826,0.3008423,-0.14541626,53.100586,-48.30017,-262.95013,10.872316533330725,0.3545745559755408,272.57173280182445,44.43493749999985,26.047604167119477
14:25:33:87,2.1502686,-1.3832397,10.67601,-0.11968994,0.36688232,-0.15713501,52.799988,-48.0751035,-263.249965,10.977895820233586,0.41667700900515986,272.763253787352,44.43493749999985,26.047604241206127
14:25:33:88,1.1925812,-1.5556183,11.561859,-0.13778687,0.42440796,-0.115600586,52.49939,-47.850037,-263.5498,11.726840228713332,0.46094558631068583,272.95477477287966,44.43493749999984,26.04760431529278
14:25:33:89,0.8549957,-1.818985,12.708679,-0.07281494,0.72268677,0.019699097,53.3996585,-48.6747735,-263.475035,12.866633048404095,0.7266128525169727,273.20557193384604,44.43493749999984,26.047604389379433
14:25:33:90,1.9060516,-1.3688812,10.568268,0.031585693,0.42121887,0.0793457,54.299927,-49.49951,-263.40027,10.825671201426728,0.42978917221686397,273.4563690948125,44.43493749999983,26.047604463466083
14:25:33:91,1.7815552,-0.878067,10.237869,0.059280396,0.17300415,0.021820068,54.374695,-48.6747735,-263.3255,10.428753628708325,0.18417577646005442,273.2522821523919,44.43493749999983,26.047604537552736
14:25:33:92,1.630722,-1.1055145,10.441376,0.1338501,0.22840881,-0.02078247,54.449463,-47.850037,-263.25073,10.625617597315003,0.26555290398511366,273.04819520997137,44.434937499999826,26.04760461163939
14:25:33:93,1.9922485,-1.2180328,9.998444,0.2169342,0.361557,-0.11985779,55.649566500000006,-49.0501405,-262.800595,10.267499228573824,0.43834894912880096,273.07512823399634,44.43493749999982,26.04760468572604
14:25:33:94,1.6546631,-1.1462097,9.6345215,0.2361145,0.32002258,-0.20187378,56.84967,-50.250244,-262.35046,9.842545970674353,0.4460017173415309,273.1020612580213,44.43493749999982,26.047604759812693
14:25:33:95,0.9866791,-1.3185883,9.593826,0.18391418,0.29551697,-0.16778564,55.725097500000004,-50.025177,-262.5,9.73415163584119,0.3864022853882504,272.97504716248187,44.43493749999981,26.047604833899346
14:25:33:96,0.6490936,-1.6753387,9.543549,0.10722351,0.26249695,-0.066589355,54.600525,-49.80011,-262.64954,9.711200223282376,0.29126563830177193,272.84803306694243,44.43493749999981,26.047604907985995
14:25:33:97,0.40249634,-1.7256165,9.620163,0.031585693,0.17832947,0.023956299,55.575562500000004,-49.4247435,-262.5,9.781988128972282,0.18268267606576313,272.8347708810113,44.434937499999805,26.04760498207265
14:25:33:98,0.34742737,-1.52211,9.859589,-0.0110321045,0.115478516,0.060180664,56.5506,-49.049377,-262.35046,9.982435568459538,0.1306855282988215,272.8215086950802,44.434937499999805,26.047605056159302
14:25:33:99,0.6538849,-1.1174774,10.115753,-0.0025024414,0.089920044,0.04206848,56.850435000000004,-49.7245785,-263.1752,10.198273381262524,0.09930575781611442,273.7991267677752,44.4349374999998,26.04760513024595
14:25:34:00,0.83584595,-0.7775116,10.034363,0.033721924,0.09524536,-0.026107788,57.15027,-50.39978,-263.99994,10.099089243889024,0.10435738284397668,274.77674484047026,44.43493749999979,26.047605204332605
14:25:34:01,0.71614075,-0.6985016,9.691986,0.06993103,0.12614441,-0.115600586,56.999970000000005,-49.199676499999995,-264.225005,9.743477545681989,0.1848411659091459,274.7471030403673,44.43493749999979,26.047605278419258
14:25:34:02,0.35940552,-0.7415924,9.457352,0.0869751,0.113357544,-0.18803406,56.84967,-47.999573,-264.45007,9.493189056763182,0.2361597097766796,274.7174612402643,44.43493749999978,26.047605352505908
14:25:34:03,-0.16493225,-0.8253937,9.514816,0.096572876,0.018539429,-0.2263794,56.774902,-47.6997375,-263.62533499999995,9.551973666261112,0.24681503915061057,273.8558105024391,44.43493749999978,26.04760542659256
14:25:34:04,-0.76109314,-0.9450989,9.61058,0.13491821,-0.15722656,-0.24768066,56.700134,-47.399902,-262.8006,9.686884051899057,0.3229068347017035,272.9941597646139,44.434937499999776,26.047605500679214
14:25:34:05,-1.2207794,-1.2898712,9.423843,0.18711853,-0.30529785,-0.21359253,56.700134,-48.149871,-263.1752,9.589728199730313,0.4169435097897367,273.48667495040286,44.434937499999776,26.047605574765868
