,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:07:87,0.7616272,0.29270935,9.909866,,,,,,
11:05:07:88,0.7975464,0.21609497,9.80452,,,,,,
11:05:07:89,0.90527344,0.13708496,10.192368,,,,,,
11:05:07:90,0.8885193,0.19932556,10.192368,,,,,,
11:05:07:91,0.8382416,0.21369934,9.955353,,,,,,
11:05:07:92,,,,,,,52.49939,-50.849915,-264.75067
11:05:07:93,0.74487305,0.24720764,9.864365,,,,,,
11:05:07:94,0.8334503,0.24003601,9.8715515,,,,,,
11:05:07:95,0.80711365,0.2807312,9.823669,0.037979126,-0.018737793,0.050582886,,,
11:05:07:96,,,,0.053955078,0.04411316,0.051651,,,
11:05:07:97,,,,0.018798828,0.026000977,0.044189453,,,
11:05:07:98,,,,-0.041915894,0.11868286,0.03781128,,,
11:05:07:99,,,,-0.08239746,0.18153381,0.041000366,,,
11:05:08:00,,,,-0.05683899,0.12294006,0.029281616,,,
11:05:08:01,,,,0.026260376,-0.036849976,0.011169434,,,
11:05:08:02,,,,0.042236328,-0.12420654,0.029281616,,,
11:05:08:03,,,,0.05076599,-0.05708313,0.032485962,,,
11:05:08:04,0.8813324,0.3310089,10.096603,0.051818848,-0.025131226,0.03353882,,,
11:05:08:05,0.7759857,0.26158142,10.091812,,,,,,
11:05:08:06,0.79992676,0.3022766,10.108582,,,,,,
11:05:08:07,0.8693695,0.15383911,9.905075,,,,,,
11:05:08:08,0.9124603,0.25679016,9.665649,,,,,,
11:05:08:09,0.9100647,0.30467224,9.826065,,,,,,
11:05:08:10,0.8909149,0.31425476,9.818878,,,,53.55072,-50.549316,-262.95013
11:05:08:11,0.89331055,0.3381958,9.818878,,,,53.700256,-50.100708,-262.8006
11:05:08:12,0.7831726,0.34776306,9.833252,0.051818848,0.012161255,0.034606934,,,
11:05:08:13,,,,-0.02168274,0.152771,0.0473938,,,
11:05:08:14,,,,-0.03126526,0.12294006,0.038864136,,,
11:05:08:15,,,,-0.0035705566,-0.040039062,0.0154418945,,,
11:05:08:16,,,,-0.044052124,0.06541443,-0.009063721,,,
11:05:08:17,0.87416077,0.34059143,9.823669,-0.055770874,0.08459473,-0.009063721,,,
11:05:08:18,0.77838135,0.31903076,9.878738,,,,,,
11:05:08:19,0.7735901,0.34536743,9.933807,,,,52.949524,-47.399902,-261.30066
11:05:08:27,0.6850128,0.29508972,10.04393,,,,,,
11:05:08:28,0.68022156,0.27114868,9.68959,,,,,,
